fund_code,index_code,date,nav_unit,nav_accum,daily_return_pct,div_yield_fund_ttm_pct,div_yield_index_did_pct
007751,931157,2025-07-24,1.3162,1.6356,-0.2000,7.8332,4.4646
007751,931157,2025-07-25,1.3096,1.6290,-0.5000,7.8726,4.5625
007751,931157,2025-07-28,1.3101,1.6295,0.0400,7.8696,4.5911
007751,931157,2025-07-29,1.3035,1.6229,-0.5000,7.9095,4.6129
007751,931157,2025-07-30,1.3073,1.6267,0.2900,7.8865,4.5938
007751,931157,2025-07-31,1.2888,1.6082,-1.4200,7.9997,4.6391
007751,931157,2025-08-01,1.2884,1.6078,-0.0300,8.0022,4.6598
007751,931157,2025-08-04,1.2957,1.6151,0.5700,7.9571,4.6475
007751,931157,2025-08-05,1.3096,1.6290,1.0700,7.8726,4.6143
007751,931157,2025-08-06,1.3071,1.6265,-0.1900,7.8877,4.6381
007751,931157,2025-08-07,1.3124,1.6318,0.4100,7.8558,4.6099
007751,931157,2025-08-08,1.3145,1.6339,0.1600,7.8433,4.6001
007751,931157,2025-08-11,1.3115,1.6309,-0.2300,7.8612,4.6197
007751,931157,2025-08-12,1.3157,1.6351,0.3200,7.8361,4.5921
007751,931157,2025-08-13,1.3143,1.6337,-0.1100,7.8445,4.5985
007751,931157,2025-08-14,1.3054,1.6248,-0.6800,7.8980,4.6562
007751,931157,2025-08-15,1.3028,1.6222,-0.2000,7.9137,4.6839
007751,931157,2025-08-18,1.3020,1.6214,-0.0600,7.9186,4.6365
007751,931157,2025-08-19,1.2982,1.6176,-0.2900,7.9418,4.6348
007751,931157,2025-08-20,1.3101,1.6295,0.9200,7.8696,4.5909
007751,931157,2025-08-21,1.3160,1.6354,0.4500,7.8343,4.5644
007751,931157,2025-08-22,1.3137,1.6331,-0.1700,7.8481,4.5729
007751,931157,2025-08-25,1.3205,1.6399,0.5200,7.8076,4.5583
007751,931157,2025-08-26,1.3175,1.6369,-0.2300,7.8254,4.5832
007751,931157,2025-08-27,1.2957,1.6151,-1.6500,7.9571,4.6677
007751,931157,2025-08-28,1.2995,1.6189,0.2900,7.9338,4.6501
007751,931157,2025-08-29,1.2969,1.6163,-0.2000,7.9497,4.6636
007751,931157,2025-09-01,1.2978,1.6172,0.0700,7.9442,5.0508
007751,931157,2025-09-02,1.3042,1.6236,0.4900,7.9052,4.9884
007751,931157,2025-09-03,1.2951,1.6145,-0.7000,7.9608,4.6886
007751,931157,2025-09-04,1.2920,1.6114,-0.2400,7.9799,4.6835
007751,931157,2025-09-05,1.2981,1.6175,0.4700,7.9424,4.6803
007751,931157,2025-09-08,1.3048,1.6242,0.5200,7.9016,4.6791
007751,931157,2025-09-09,1.3112,1.6306,0.4900,7.8630,4.6531
007751,931157,2025-09-10,1.3139,1.6333,0.2100,7.8469,4.6493
007751,931157,2025-09-11,1.3190,1.6384,0.3900,7.8165,4.6589
007751,931157,2025-09-12,1.3132,1.6326,-0.4400,7.8511,4.6694
007751,931157,2025-09-15,1.3047,1.6241,-0.6500,7.9022,4.6410
007751,931157,2025-09-16,1.3033,1.6227,-0.1100,7.9107,4.6830
007751,931157,2025-09-17,1.3041,1.6235,0.0600,7.9058,4.9410
007751,931157,2025-09-18,1.2844,1.6038,-1.5100,8.0271,5.0196
007751,931157,2025-09-19,1.2859,1.6053,0.1200,8.0177,5.0323
007751,931157,2025-09-22,1.2765,1.5959,-0.7300,8.0768,4.8235
007751,931157,2025-09-23,1.2793,1.5987,0.2200,8.0591,4.8031
007751,931157,2025-09-24,1.2871,1.6065,0.6100,8.0103,4.8103
007751,931157,2025-09-25,1.2742,1.5936,-1.0000,8.0914,4.8597
